id_engcit,codgeo,libgeo,echelon,Dispositif,periode,projet_partage,url
ai-105,200034882,CC Pays du Mont-Blanc,epci,AI,,,
ai-106,35055,Chantepie,commune,AI,,,
ai-107,74112,Epagny Metz-Tessy,commune,AI,,,
ai-108,26,Drôme,departement,AI,,,
ai-109,83126,La Seyne-sur-Mer,commune,AI,,,
ai-110,47130,Lagruère,commune,AI,,,
ai-111,74160,Manigod,commune,AI,,,
ai-112,74240,Saint-Jean-de-Tholome,commune,AI,,,
ai-113,2B301,San-Gavino-di-Tenda,commune,AI,,,
ai-114,74283,Thusy,commune,AI,,,
ai-115,74307,Villy-le-Pelloux,commune,AI,,,
patde-116,60143,Chaumont-en-Vexin,commune,PATDE,,,
cco-117,64,Pyrénées-Atlantiques,departement,CCO,,,
cco-118,200054781,Métropole du Grand Paris,epci,CCO,,,
cco-119,13055,Marseille,commune,CCO,,,
cco-121,62729,Rumilly,commune,CCO,,,
cco-122,26139,Génissieux,commune,CCO,,,
cco-123,247200629,CC du Val de Sarthe,epci,CCO,,,
cco-124,200070936,CC Ponthieu-Marquenterre,epci,CCO,,,
cco-125,91570,Saint-Michel-sur-Orge,commune,CCO,,,
cco-126,200052801,"PETR du Briançonnais, des Ecrins, du Guillestrois et du Queyras",epci,CCO,,,
patde-127,60143,Chaumont-en-Vexin,commune,PATDE,,,
patde-129,63307,Romagnat,commune,PATDE,,,
patde-130,200033579,CU d'Arras,epci,PATDE,,,
ai-131,2B301,San-Gavino-di-Tenda,commune,AI,,,
ai-132,56069,Groix,commune,AI,,,
ai-133,254200363,SM de gestion et réalisation Parc naturel régional du Pilat,epci,AI,,,
ai-134,200034957,CC du Frontonnais,epci,AI,,,
ai-135,200069136,CC des Cévennes au Mont Lozère,epci,AI,,,
ai-136,246400337,CC de la Vallée d'Ossau,epci,AI,,,
ai-137,69272,Communay,commune,AI,,,
ai-138,64102,Bayonne,commune,AI,,,
ai-139,74282,Fillière,commune,AI,,,
ai-140,200068047,CA Creil Sud Oise,epci,AI,,,
ai-141,19,Corrèze,departement,AI,,,
ai-142,253804835,SM des Rives du Rhône,epci,AI,,,
ai-143,78623,Le Tremblay-sur-Mauldre,commune,AI,,,
ai-144,26,Drôme,departement,AI,,,
ai-145,58,Nièvre,departement,AI,,,
ai-146,58071,Chevannes-Changy,commune,AI,,,
ai-147,258402346,SM du parc naturel régional du Lubéron,epci,AI,,,
ai-148,88464,Tendon,commune,AI,,,
ai-149,67520,Wasselonne,commune,AI,,,
ai-150,67461,Schwobsheim,commune,AI,,,
ai-151,67482,Strasbourg,commune,AI,,,
ai-152,92036,Gennevilliers,commune,AI,,,
ai-153,77152,Dammarie-les-Lys,commune,AI,,,
ai-154,38185,Grenoble,commune,AI,,,
ai-155,60395,Méru,commune,AI,,,
ai-156,03310,Vichy,commune,AI,,,
ai-157,83121,Salernes,commune,AI,,,
ai-158,92026,Courbevoie,commune,AI,,,
ai-159,95607,Taverny,commune,AI,,,
ai-160,246300701,Clermont Auvergne Métropole,epci,AI,,,
ai-161,84031,Carpentras,commune,AI,,,
ai-162,75,Nouvelle-Aquitaine,region,AI,,,
ai-163,95127,Cergy,commune,AI,,,
ai-164,68376,Wittenheim,commune,AI,,,
ai-165,200052801,"PETR du Briançonnais, des Ecrins, du Guillestrois et du Queyras",epci,AI,,,
ai-166,200073401,CC Mézenc-Loire-Meygal,epci,AI,,,
ai-167,200051738,PETR Pays de Remiremont et de ses vallées,epci,AI,,,
ai-168,241900133,CC de Ventadour - Egletons - Monédières,epci,AI,,,
ai-169,200030195,Métropole Nice Côte d'Azur,epci,AI,,,
ai-170,38,Isère,departement,AI,,,
ai-171,200018166,CC Le Grésivaudan,epci,AI,,,
ai-172,253901664,SM du Parc naturel régional du Haut-Jura,epci,AI,,,
ai-173,200068096,CC Champsaur-Valgaudemar,epci,AI,,,
ai-174,200042463,CC de la Montagne Noire,epci,AI,,,
ai-175,243200458,CC du Grand Armagnac,epci,AI,,,
ai-176,33318,Pessac,commune,AI,,,
ai-177,200070803,CC des Coteaux du Val d'Arros,epci,AI,,,
ai-178,41,Loir-et-Cher,departement,AI,,,
ai-179,49,Maine-et-Loire,departement,AI,,,
ai-180,77337,Noisiel,commune,AI,,,
ai-181,69091,Givors,commune,AI,,,
ai-182,29195,Plouguerneau,commune,AI,,,
ai-183,69250,La Tour-de-Salvagny,commune,AI,,,
ai-184,69264,Villefranche-sur-Saône,commune,AI,,,
ai-185,243301454,CC Castillon/Pujols,epci,AI,,,
ai-186,62080,Bapaume,commune,AI,,,
ai-187,49050,Brissac Loire Aubance,commune,AI,,,
ai-188,200070712,CC Thiers Dore et Montagne,epci,AI,,,
ai-189,200049211,CC Conflent-Canigó,epci,AI,,,
ai-190,48140,Saint-Chély-d'Apcher,commune,AI,,,
ai-191,74276,Taninges,commune,AI,,,
ai-192,243300316,Bordeaux Métropole,epci,AI,,,
ai-193,200077881,Syndicat du bassin de l'Oudon,epci,AI,,,
ai-194,200017127,Syndicat de développement local du Pays Coeur d'Hérault ou ''SYDEL du Pays Coeur d'Hérault'',epci,AI,,,
ai-195,200068450,CC Argentan Intercom,epci,AI,,,
pptde-196,57463,Metz,commune,PPTDE,2024-2025,Accueil et intégration des réfugiés,
pptde-197,01053,Bourg-en-Bresse,commune,PPTDE,2024-2025,Accueil et intégration des réfugiés,
pptde-198,71014,Autun,commune,PPTDE,2024-2025,Accueil et intégration des réfugiés,
cco-199,78642,Verneuil-sur-Seine,commune,CCO,,,
cco-200,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,epci,CCO,,,
cco-201,245400676,Métropole du Grand Nancy,epci,CCO,,,
cco-202,34079,Clermont-l'Hérault,commune,CCO,,,
cco-203,44048,Couffé,commune,CCO,,,
cco-204,95219,Ermont,commune,CCO,,,
ai-205,75,Nouvelle-Aquitaine,region,AI,,,
ai-206,200070092,CA du Libournais,epci,AI,,,
ai-208,247200447,CC Orée de Bercé - Belinois,epci,AI,,,
ai-209,17300,La Rochelle,commune,AI,,,
ai-210,76,Occitanie,region,AI,,,
ai-211,17197,Jonzac,commune,AI,,,
ai-213,50353,Le Mont-Saint-Michel,commune,AI,,,
ai-215,200068047,CA Creil Sud Oise,epci,AI,,,
ai-216,62160,Boulogne-sur-Mer,commune,AI,,,
ai-217,200070761,CC Ambert Livradois Forez,epci,AI,,,
ai-218,200068997,CA Arlysère,epci,AI,,,
ai-219,200010775,SM des Monts de la Madeleine,epci,AI,,,
cco-220,71238,Iguerande,commune,CCO,,,
cco-221,28199,Janville-en-Beauce,commune,CCO,,,
cco-222,22223,Plouisy,commune,CCO,,,
ai-223,200023299,CC Coeur de Tarentaise,epci,AI,,,
ai-224,200051548,PETR Nivernais Morvan,epci,AI,,,
ai-225,200071496,CC du Bocage Bourbonnais,epci,AI,,,
ai-226,34,Hérault,departement,AI,,,
ai-227,42,Loire,departement,AI,,,
ai-228,200034882,CC Pays du Mont-Blanc,epci,AI,,,
ai-229,200093201,Métropole Européenne de Lille,epci,AI,,,
ai-230,70554,Villars-le-Pautel,commune,AI,,,
ai-231,200040947,CC de Flandre Intérieure,epci,AI,,,
ai-232,240700864,CC du Rhône aux Gorges de l'Ardèche,epci,AI,,,
ai-233,95127,Cergy,commune,AI,,,
ai-234,72176,Le Lude,commune,AI,,,
ai-235,200069250,CA Troyes Champagne Métropole,epci,AI,,,
ai-236,200096675,CC Baud Communauté,epci,AI,,,
ai-237,200068674,CA Grand Lac,epci,AI,,,
ai-238,92049,Montrouge,commune,AI,,,
ai-239,33249,Lormont,commune,AI,,,
ai-240,242900553,CC du Pays des Abers,epci,AI,,,
ai-242,240800862,CC des Crêtes Préardennaises,epci,AI,,,
ai-243,78440,Les Mureaux,commune,AI,,,
ai-244,60395,Méru,commune,AI,,,
ai-246,2A247,Porto-Vecchio,commune,AI,,,
ai-247,10343,Saint-Julien-les-Villas,commune,AI,,,
ai-249,69123,Lyon,commune,AI,,,
ai-250,200069250,CA Troyes Champagne Métropole,epci,AI,,,
